id,num_vertices,num_faces,volume,surface_area,average_edge_length,genus,max_ver_stress,max_hor_stress,max_dia_stress,max_tor_stress,category,num_tets,mass,download_file,link_name,author,author_id,test_split_0,test_split_1,test_split_2
0,42360,84764,307642.7036,73622.29837,1.347076541,12,658.5779,414.3286,319.0323,325.8028,block,570111,1.375162885,FINAL BRACKET AARON WEISSBART 8.9.2013 1930 pacific time.stp,ge-bracket-001-1,Aaron Weissbart,aaron.weissbart,FALSE,TRUE,FALSE
4,35622,71368,104015.5987,39149.66755,1.048514403,32,1057.485,908.3706,752.3348,432.3469,beam,431759,0.464949726,bracket.STEP,ripple-bracket-1,simon,simon-240,FALSE,FALSE,FALSE
6,35186,70532,114996.4398,58499.67538,1.30674029,41,4823.208,1666.009,4342.286,906.2914,block,314815,0.514034086,10813 new GE bracket.IGS,ge-bracket-26,Amartesh Sehgal,amartesh.sehgal-1,FALSE,FALSE,FALSE
8,24577,49174,89326.26857,30458.40876,1.130023137,6,1008.945,956.9317,469.8122,676.9794,beam,293971,0.399288421,bracket_15.igs,ge-engine-bracket-15-1,Mandli Peter,mandli.peter,FALSE,FALSE,FALSE
9,38322,76720,78486.32131,38243.142,0.989506647,20,1677.547,1919.958,1507.509,826.2255,beam,481030,0.350833856,EngineBracketModified_PTJ.igs,modified-engine-bracket-2,Penn,penn-1,FALSE,FALSE,FALSE
10,43107,86250,89919.88528,69797.80972,1.292692232,10,788.448,607.6455,510.9708,731.7008,block,401725,0.401941887,GE JET BRACKET V_5.STEP,ge-jet-bracket-v5-1,Arfi'an,arfi.an-1,FALSE,FALSE,TRUE
12,45862,91792,164079.8528,46607.65224,0.999294672,18,1851.074,1133.119,837.7428,441.3822,butterfly,625048,0.733436942,Form 3.STEP,form-3-1,Wei Jiang,wei.jiang-1,FALSE,TRUE,FALSE
14,39157,78710,211506.4407,61185.84616,1.286911589,100,1330.051,765.4058,621.1868,352.4014,butterfly,469738,0.94543379,MPS-01 - Aircraft Bracket - 5.STEP,mps-aircraft-bracket-1,MATTHEW SEAVERS,matthew.seavers-1,TRUE,FALSE,FALSE
15,20730,41484,129481.0876,48599.39154,1.604276214,7,837.8741,643.8823,406.5309,338.0365,beam,224221,0.578780462,SL_JHU.stp,ge-bracket-design-8,Sen Lin,sen.lin-1,FALSE,FALSE,FALSE
16,25703,51446,98714.93865,32239.87493,1.156888997,11,1761.383,1250.093,619.5664,593.4944,flat,303819,0.441255776,Form 4.STEP,form-4-1,Wei Jiang,wei.jiang-1,FALSE,TRUE,FALSE
19,37987,75994,93522.85031,42798.43328,1.046815407,6,1202.083,842.0427,818.2881,882.8882,flat,438547,0.418047141,GE Challenge Bracket - DART2.STEP,ge-bracket-dart-lab-state-university-of-new-york-at-buffalo-1,Azhar Vellore,azhar.vellore-1,FALSE,FALSE,FALSE
20,27529,55254,93875.50335,53155.74976,1.431776198,50,791.5018,660.8558,633.4947,476.9447,arch,267823,0.4196235,FinalDesign-UWMadison.STEP,uw-madison-optimized-design-1,Krishnan Suresh,krishnan.suresh-1,FALSE,FALSE,FALSE
21,15564,31148,72802.09744,27713.3885,1.382528489,6,1006.544,791.685,1066.08,645.7174,arch,176078,0.325425376,Paul_ROSARIO_GE_jet_engine_bracket.stp,paul_rosario_ge_jet_engine_bracket-1,Paul Rosario,paul.rosario-1,FALSE,FALSE,FALSE
22,40427,80886,173762.2323,84855.88714,1.516970196,9,680.1785,537.7938,315.2081,321.0497,block,346004,0.776717178,62v4_weight_reduction.stp,jet_engine_bracket_optimization_64-1,Yingcong Chou,yingcong.chou-1,TRUE,FALSE,FALSE
23,19039,38106,45453.15481,23265.68754,1.136483332,8,2709.147,2406.072,840.5061,1138.232,beam,207884,0.203175602,ultralight.IGS,ultralight-ge-engine-bracket-9-92-of-original-weight-1,Jack Schorsch,jack.schorsch,FALSE,FALSE,FALSE
25,32413,64850,79950.48894,27381.77746,0.921112829,7,2468.175,1786.254,843.7404,530.7501,beam,477057,0.357378686,Form 1.STEP,form-1-1,Wei Jiang,wei.jiang-1,FALSE,FALSE,FALSE
27,23986,47992,213306.1128,43655.65008,1.377140793,6,850.4824,387.2315,685.4629,457.7581,flat,317477,0.953478324,Jet Bracket .stp,ge-challenge-3,Gustavo Vieira,gustavo.vieira-14,FALSE,FALSE,FALSE
28,23668,47372,204116.9974,52654.57047,1.539312805,10,1272.023,810.3981,530.9316,518.1812,flat,296626,0.912402978,engine bracket.IGS,engine-bracket-10,aditya,aditya-9,FALSE,TRUE,FALSE
29,92602,185240,97972.9138,62090.05108,0.83500676,10,1891.641,1295.897,821.8462,599.2084,butterfly,1152206,0.437938925,SURF-II_X1.STEP,surf-ii-bracket-1,Lumas,lumas-1,FALSE,FALSE,FALSE
30,10647,21314,68878.16461,26983.61655,1.678151389,6,1303.199,1017.983,726.2039,1336.627,arch,100965,0.307885396,Super Kraken.igs,super-kraken-1,Tim Titus,tim.titus-2,FALSE,FALSE,TRUE
33,91955,184270,59820.13804,71544.05187,0.899383819,91,1346.228,1367.509,1054.877,682.7851,flat,750487,0.267396017,GE_Grand15.stp,ge-bracket-grand-15-1,Jerry Grandov,jerry.grandov,FALSE,TRUE,FALSE
34,55026,110116,54720.79919,49996.30284,0.971158455,17,1194.335,1231.333,844.6988,780.0781,beam,490613,0.244601972,GE_Grand16.stp,ge-bracket-grand-16-1,Jerry Grandov,jerry.grandov,FALSE,FALSE,TRUE
35,36822,73712,46488.22267,46683.85169,1.175226873,18,1602.432,1529.422,988.0487,662.9236,butterfly,289286,0.207802355,GE_Grand17.stp,ge-bracket-grand-17-1,Jerry Grandov,jerry.grandov,TRUE,FALSE,FALSE
38,23502,47028,172230.4208,36796.78004,1.28171017,7,744.9553,497.4877,753.883,415.1404,arch,286072,0.769869981,Bracket_v55f.STEP,ge_bracket_strong-1,Hector Ulises Levatti,hector.ulises.levatti-1,FALSE,TRUE,FALSE
39,19042,38104,239921.6868,41414.21526,1.564980841,6,687.1707,553.4059,343.5669,305.9454,flat,234831,1.07244994,New_CAD_GE_bracket.stp,ge-jet-engine-bracket-challenge-25,ibrahim,ibrahim-89,TRUE,FALSE,FALSE
40,12808,25648,95869.64045,33300.92224,1.699505735,9,1448.087,1060.028,638.6975,786.539,butterfly,136271,0.428537293,next generation bracket.STEP,same-same-but-different-1,Piotr Mikulski,piotr.mikulski,FALSE,FALSE,TRUE
50,19950,39920,78769.99688,31155.86162,1.268897996,6,1188.339,1038.505,578.351,1256.035,butterfly,221839,0.352101886,JLB_V7.stp,the-wingspan-ge-bracket-contest-1,Josef Bohm,josef.bohm-1,FALSE,FALSE,FALSE
51,28697,57494,224368.4945,58181.64509,1.468731016,26,1408.615,751.8851,682.9803,387.5391,flat,340975,1.00292717,jetbracket.stp,jet-bracket-competition-1,abhivardhan,abhivardhan-1,FALSE,FALSE,TRUE
53,37407,75142,110915.2315,55682.08417,1.237144262,83,2512.976,4326.222,2636.069,1036.837,flat,414851,0.495791085,grabcad.igs,ge-jet-engine-bracket-challenge-22,kandarp,kandarp-1,FALSE,FALSE,FALSE
55,20854,41740,89623.60196,35868.87233,1.327350028,9,2161.954,1658.983,1011.331,623.5731,beam,242282,0.400617501,GEoptv13.stp,ge-bracket-design-entry-1,Sikker Rosendal,sikker.rosendal,TRUE,FALSE,FALSE
56,18474,36968,284927.5613,50810.38775,1.764192171,6,778.228,507.0108,370.0817,295.9936,flat,219410,1.273626199,GE jet engine bracket.STEP,ge-jet-engine-bracket-va0-1,Stefan Stoica,stefan.stoica-2,FALSE,FALSE,FALSE
58,19734,39488,306833.9377,53982.41837,1.759959859,6,682.9165,405.2676,336.4866,319.2635,flat,243475,1.371547702,GE jet engine bracket Vb0.STEP,ge-jet-engine-bracket-vb0-1,Stefan Stoica,stefan.stoica-2,FALSE,TRUE,FALSE
59,17663,35346,93356.65953,33178.90348,1.422120843,6,1641.794,1241.843,787.7128,562.486,butterfly,179707,0.417304268,Optimized Bracket JEGG.stp,optimized-bracket-1,Juan Esteban,juan.esteban-4,FALSE,FALSE,TRUE
61,17098,34216,324206.9054,48881.98941,1.796972915,6,1006.75,408.8269,676.8886,389.1822,flat,201352,1.449204867,prop_ma_00.STEP,ge-jet-engine-bracket-contri-1,blekiwajt,blekiwajt-1,TRUE,FALSE,FALSE
62,13301,26622,106473.1592,34067.5097,1.7001482,6,1000.181,687.8608,415.6976,430.7633,arch,135618,0.475935022,bracketGE-ORIGINAL.igs,78-4th-ge-jet-engine-bracket-challenge-1,m.h.m,m.h.m-1,FALSE,FALSE,FALSE
63,29736,59500,123696.6051,67779.71073,1.601223674,8,665.0992,481.0448,445.1033,452.5424,block,237990,0.552923825,GE JET BRACKET V_2.0.STEP,ge-jet-engine-bracket-v-2-0-1,Arfi'an,arfi.an-1,FALSE,FALSE,TRUE
64,23840,47700,249369.4954,41713.51791,1.305079041,6,699.0228,509.162,432.1361,574.2831,flat,327626,1.114681644,PROTOTYPE002.SLDPRT,ge-engine-bracket-prototype-1,Ian Cummings,ian.cummings-2,TRUE,FALSE,FALSE
65,16857,33754,134527.2046,40327.55728,1.656563011,11,1383.473,534.8087,924.5239,308.433,block,177903,0.601336605,Part1.stp,light-and-robust-1,necmiyildiz,necmiyildiz-1,FALSE,TRUE,FALSE
66,38613,77270,105326.7553,45436.94414,1.094270434,12,1161.774,862.8164,814.8082,610.1272,arch,465341,0.470810596,ge_0808.stp,ge-jet-bracket-2,D SONG,d.song-1,FALSE,FALSE,FALSE
69,13204,26436,168521.7644,43835.24855,1.96058487,8,1167.994,635.1621,678.2489,465.7251,other,128694,0.753292287,bracket.stp,my-first-ge-jet-engine-bracket-1,Pavol Kiraly,pavol.kiraly-1,FALSE,FALSE,TRUE
70,14078,28180,108878.279,35275.0325,1.656870088,7,1435.222,1126.926,628.9907,411.0273,beam,132859,0.486685907,bracketGE_1_1a.igs,first-ge-jet-engine-bracket-challenge_2-1,m.h.m,m.h.m-1,FALSE,TRUE,FALSE
71,17801,35634,134341.6479,43683.18845,1.648408909,9,2864.464,2307.41,1253.246,414.8506,other,199412,0.600507166,Part1.IGS,simple3-1,mohammad1993,mohammad1993-1,FALSE,FALSE,FALSE
72,16941,33910,141278.8357,47454.26501,1.778571493,8,1223.792,1189.625,1086.385,434.4343,flat,164020,0.631516395,bracket.STEP,ge-jet-engine-bracket-2-0-1,Dino Salkanovic,dino.salkanovic,FALSE,TRUE,FALSE
73,52667,105478,122129.5491,45263.08742,0.947768404,37,1746.851,837.8126,1629.518,805.8174,butterfly,663966,0.545919085,ge bracket version 5.0.STEP,ge-bracket-version-5-1-1,simon,simon-240,TRUE,FALSE,FALSE
76,26345,52894,109214.4872,53956.71596,1.469999507,52,728.9378,642.4574,622.3306,460.4828,block,256650,0.488188758,FinalDesign-UWMadison.STEP,uw-madison-topology-optimization-result-1,Krishnan Suresh,krishnan.suresh-1,TRUE,FALSE,FALSE
77,21939,43906,139009.4328,49808.27616,1.570225865,8,722.8359,762.1683,522.3374,309.1831,block,258370,0.621372164,Bracket 3.IGS,bracket-design-1,Andrew Smolkov,andrew.smolkov-1,FALSE,FALSE,FALSE
78,46102,92224,179291.714,48209.50305,1.006516117,6,1343.678,933.9296,598.8268,514.6563,flat,619369,0.801433962,GE Bracket V2.stp,ge-bracket-challenge-2,Ririwin,ririwin-1,FALSE,FALSE,FALSE
