model_id,offset_mm,kept
0,0.49,True
4,1.028,True
6,0.22,True
8,0.207,True
9,0.155,True
10,0.332,True
12,0.024,True
14,0.197,True
15,0.219,True
16,0.166,True
19,0.123,True
20,0.113,True
21,0.169,True
22,0.338,True
23,0.813,True
25,0.266,True
27,38.1,False
28,0.167,True
29,0.108,True
30,0.559,True
33,0.55,True
34,0.592,True
35,0.667,True
38,0.18,True
39,0.991,True
40,0.59,True
50,0.216,True
51,1.039,True
53,38.195,False
55,0.493,True
56,0.553,True
58,0.435,True
59,0.302,True
61,0.057,True
62,0.106,True
63,0.485,True
64,1.993,True
65,9.243,False
66,0.157,True
69,1.384,True
70,0.584,True
71,2.588,True
72,0.063,True
73,0.868,True
76,0.131,True
77,0.214,True
78,0.393,True
79,0.439,True
80,0.129,True
81,0.148,True
82,0.26,True
86,0.295,True
87,0.371,True
91,0.206,True
92,18.981,False
94,3.264,True
95,0.597,True
96,3.829,True
97,0.879,True
98,1.13,True
101,0.196,True
106,18.475,False
107,38.251,False
108,0.72,True
112,1.294,True
113,0.072,True
114,0.147,True
115,9.573,False
116,0.201,True
119,0.355,True
120,0.125,True
121,0.937,True
122,0.342,True
124,18.579,False
125,0.127,True
127,0.405,True
129,0.167,True
130,9.561,False
131,0.088,True
134,0.636,True
135,0.805,True
136,0.995,True
138,0.101,True
139,0.174,True
140,0.405,True
142,38.127,False
146,0.408,True
147,0.182,True
148,0.225,True
149,0.057,True
150,0.12,True
152,0.177,True
153,0.127,True
163,0.205,True
164,1.204,True
165,2.725,True
166,0.785,True
167,1.899,True
169,1.98,True
170,0.204,True
171,0.258,True
173,0.188,True
174,0.339,True
177,10.9,False
180,6.132,False
181,0.095,True
182,0.208,True
183,0.08,True
185,38.104,False
186,0.209,True
187,0.846,True
191,0.097,True
192,0.097,True
193,1.086,True
194,0.246,True
195,0.202,True
196,3.362,True
197,4.072,True
198,0.267,True
199,0.406,True
200,0.993,True
202,0.095,True
204,4.16,True
205,0.241,True
206,0.066,True
207,0.146,True
208,0.144,True
209,0.14,True
211,0.192,True
213,38.036,False
214,0.409,True
217,38.1,False
220,0.078,True
221,0.202,True
223,10.012,False
225,0.173,True
228,3.195,True
229,0.108,True
230,0.12,True
234,0.151,True
235,0.172,True
236,0.436,True
237,0.874,True
238,0.143,True
240,0.195,True
241,0.138,True
242,1.17,True
245,0.172,True
246,1.106,True
247,0.126,True
248,0.338,True
249,0.3,True
252,2.25,True
254,0.81,True
255,1.67,True
256,0.144,True
257,0.072,True
258,0.656,True
259,0.831,True
261,5.171,False
262,5.184,False
266,0.255,True
267,0.136,True
268,0.118,True
269,0.104,True
270,0.287,True
271,9.648,False
275,0.247,True
279,1.863,True
280,0.4,True
285,0.292,True
289,0.142,True
290,0.384,True
291,0.392,True
295,0.167,True
296,0.079,True
297,6.058,False
302,0.366,True
306,0.468,True
308,0.75,True
309,0.752,True
310,1.437,True
311,1.052,True
312,2.217,True
316,0.171,True
318,0.572,True
319,0.334,True
320,0.17,True
321,0.294,True
322,0.066,True
323,0.131,True
324,0.593,True
325,1.082,True
329,0.145,True
331,0.208,True
332,0.666,True
335,0.203,True
336,0.203,True
337,2.166,True
339,0.198,True
342,0.299,True
345,0.383,True
348,0.476,True
351,0.162,True
356,14.94,False
357,2.05,True
361,0.509,True
362,52.044,False
364,0.496,True
365,0.844,True
366,4.172,True
369,3.097,True
371,0.26,True
373,0.57,True
374,3.251,True
375,0.179,True
377,0.363,True
379,4.813,True
380,0.155,True
382,18.975,False
383,18.982,False
384,0.294,True
386,18.982,False
387,18.981,False
389,0.143,True
390,0.161,True
393,3.837,True
395,0.372,True
398,0.628,True
400,0.063,True
403,0.238,True
406,0.369,True
407,20.026,False
411,0.151,True
412,17.221,False
413,17.227,False
415,0.268,True
416,0.513,True
417,0.133,True
418,0.279,True
419,0.227,True
420,1.879,True
421,0.19,True
422,0.201,True
424,0.449,True
425,0.051,True
427,0.125,True
428,0.185,True
432,0.346,True
433,0.071,True
434,0.248,True
437,0.21,True
438,0.38,True
439,0.06,True
440,0.14,True
441,0.247,True
446,3.373,True
447,0.586,True
448,0.048,True
449,0.234,True
454,0.252,True
456,0.252,True
459,0.223,True
460,0.145,True
461,0.916,True
462,0.897,True
464,0.326,True
465,0.55,True
466,0.285,True
471,0.862,True
472,0.155,True
473,0.296,True
474,0.053,True
475,0.196,True
476,0.121,True
479,0.408,True
482,0.139,True
483,0.147,True
484,0.248,True
485,0.147,True
486,0.675,True
488,0.213,True
489,0.231,True
493,7.462,False
494,0.144,True
495,0.472,True
496,0.897,True
497,0.115,True
498,1.307,True
499,0.172,True
500,0.656,True
501,2.745,True
504,0.91,True
506,0.215,True
507,0.12,True
510,0.405,True
511,38.156,False
512,0.085,True
513,0.061,True
514,0.645,True
515,0.657,True
517,0.361,True
518,0.245,True
519,0.182,True
520,0.498,True
523,38.106,False
524,37.98,False
525,0.375,True
527,0.163,True
533,0.47,True
534,2.773,True
535,0.123,True
536,38.081,False
537,0.131,True
538,0.199,True
545,0.272,True
546,0.079,True
547,0.635,True
548,0.552,True
549,0.559,True
550,0.056,True
551,0.386,True
552,0.352,True
553,0.721,True
554,0.131,True
556,0.233,True
559,0.26,True
560,0.206,True
561,0.21,True
562,0.232,True
564,0.101,True
565,0.109,True
566,0.273,True
569,0.211,True
570,0.119,True
571,2.796,True
572,0.082,True
575,0.165,True
576,0.419,True
580,1.068,True
586,0.116,True
587,0.125,True
589,0.445,True
590,0.67,True
592,0.096,True
595,4.538,True
596,1.935,True
597,0.445,True
598,1.062,True
600,0.602,True
601,56.568,False
605,0.043,True
606,0.829,True
610,0.524,True
611,0.307,True
614,1.596,True
615,0.212,True
616,0.163,True
623,0.087,True
624,0.196,True
625,0.312,True
626,2.283,True
628,0.146,True
630,0.555,True
631,0.666,True
633,0.081,True
634,0.415,True
