model_id,split,category,nodes,median_mpa,peak_mpa
4,train,beam,35622,102.7,1057.5
6,train,block,35186,180.1,4823.2
8,train,beam,24577,127.3,1008.9
9,train,beam,38322,126.0,1677.5
10,train,block,43107,138.2,788.4
12,train,butterfly,45862,79.4,1851.1
14,train,butterfly,39157,96.4,1330.1
15,train,beam,20730,88.6,837.9
16,train,flat,25703,117.2,1761.4
19,train,flat,37987,139.8,1202.1
20,train,arch,27529,131.9,791.5
22,train,block,40427,63.8,680.2
25,train,beam,32413,143.4,2468.2
28,train,flat,23668,96.1,1272.0
30,train,arch,10647,168.8,1303.2
33,train,flat,91955,188.9,1346.2
35,train,butterfly,36822,207.3,1602.4
38,train,arch,23502,66.3,745.0
39,train,flat,19042,61.5,687.2
50,train,butterfly,19950,105.6,1188.3
51,train,flat,28697,78.5,1408.6
55,train,beam,20854,142.0,2162.0
56,train,flat,18474,67.5,778.2
58,train,flat,19734,63.0,682.9
59,train,butterfly,17663,144.5,1641.8
61,train,flat,17098,63.8,1006.8
63,train,block,29736,102.4,665.1
66,train,arch,38613,88.9,1161.8
69,train,other,13204,84.0,1168.0
70,train,beam,14078,118.3,1435.2
71,train,other,17801,131.7,2864.5
72,train,flat,16941,114.4,1223.8
73,train,butterfly,52667,116.8,1746.9
76,train,block,26345,108.5,728.9
77,train,block,21939,107.3,722.8
78,train,flat,46102,95.3,1343.7
80,train,butterfly,34049,191.6,2047.4
81,train,butterfly,33268,192.4,1780.5
82,train,beam,97341,140.6,2711.4
86,train,block,64534,36.1,483.8
87,train,flat,31281,70.2,880.0
91,train,beam,26248,114.1,655.3
96,train,flat,28250,123.5,1394.1
97,train,beam,61246,70.8,741.4
98,train,beam,63028,71.3,722.9
101,train,flat,28483,96.2,717.2
112,train,block,39536,112.0,1267.2
113,train,block,20830,66.1,748.4
114,train,butterfly,29063,95.4,1707.9
116,train,flat,17892,70.4,1184.6
119,train,block,25545,64.0,803.2
121,train,beam,16193,198.3,2194.5
122,train,arch,42754,114.9,921.3
125,train,arch,31037,104.7,1450.1
127,train,block,34901,49.1,745.2
129,train,beam,19285,109.2,1339.6
131,train,block,28940,88.3,999.6
140,train,block,32215,45.0,754.4
146,train,arch,43104,62.4,715.1
147,train,flat,28011,162.6,1687.2
148,train,butterfly,50994,145.0,1719.3
152,train,flat,25365,89.3,936.3
